10,0.0
20,0.01
30,0.02
40,0.02
60,0.04
70,0.05
80,0.04
90,0.07
100,0.07
200,0.27
300,0.52
400,0.87
500,1.15
600,1.44
700,2.04
800,2.67
900,3.71
1000,3.93
2000,14.48
3000,36.4
4000,63.0
5000,114.77
6000,163.59
7000,263.81
8000,363.04
9000,491.34
10000,632.99
